AccountId,Region,VpcId,Name,CidrBlock,IsDefault,State,DhcpOptionsId,InstanceTenancy,AdditionalCidrBlocks,Tags
007710834192,us-east-1,vpc-03380da9924618762,mi-lz-icd-core-team-hold-prod-pci-us-east-1-vpc,10.212.224.0/23,False,available,dopt-0bfca59f8ee68b9e1,default,[],"[{'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-07-21T18:25:43Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'Name', 'Value': 'mi-lz-icd-core-team-hold-prod-pci-us-east-1-vpc'}, {'Key': 'Associate-with', 'Value': 'tgw-pci-prod-accounts-rt'}, {'Key': 'dud', 'Value': '51519542158'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-07-21T18:24:14Z: VPC has been attached to the Transit Gateway'}, {'Key': 'createdby', 'Value': 'amanj426'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'owner', 'Value': 'S:Public Cloud Adnan Haq'}, {'Key': 'project', 'Value': 'Backup Account in AWS for Cloud backup implementation'}, {'Key': 'RequestedBy', 'Value': 'mosca176'}, {'Key': 'Propagate-to', 'Value': 'tgw-pci-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-07-21T18:25:57Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'environment', 'Value': 'prodpci'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'Description', 'Value': 'Prod pci Backup Account creation in AWS for Cloud backup implementation'}, {'Key': 'location', 'Value': 'aws-us-east-1'}]"
007710834192,us-west-2,vpc-03c2708b7cb46148f,mi-lz-icd-core-team-hold-prod-pci-us-west-2-vpc,10.216.140.0/23,False,available,dopt-0a013533672066d18,default,[],"[{'Key': 'dud', 'Value': '51519542158'}, {'Key': 'project', 'Value': 'Backup Account creation in AWS for Cloud backup implementation'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-07-24T16:14:06Z: VPC has been attached to the Transit Gateway'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'RequestedBy', 'Value': 'mosca176'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-07-24T16:17:37Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-07-24T16:17:35Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'createdby', 'Value': 'amanj426'}, {'Key': 'Propagate-to', 'Value': 'tgw-pci-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt'}, {'Key': 'Name', 'Value': 'mi-lz-icd-core-team-hold-prod-pci-us-west-2-vpc'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'location', 'Value': 'aws-us-west-2'}, {'Key': 'Description', 'Value': 'Backup Account creation in AWS for Cloud backup implementation'}, {'Key': 'owner', 'Value': 'S:Public Cloud Adnan Haq'}, {'Key': 'environment', 'Value': 'prodpci'}, {'Key': 'Associate-with', 'Value': 'tgw-pci-prod-accounts-rt'}]"
024453401885,us-east-1,vpc-055bca7586ab6cee3,mi-lz-dc-finance-test-us-east-1-vpc,10.212.88.0/24,False,available,dopt-02325d6a9720d128d,default,[],"[{'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'Name', 'Value': 'mi-lz-dc-finance-test-us-east-1-vpc'}, {'Key': 'environment', 'Value': 'test'}, {'Key': 'createdby', 'Value': 'anjok224'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-06-05T16:47:23Z: VPC has been attached to the Transit Gateway'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-06-05T16:50:33Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'dud', 'Value': '52529967389'}, {'Key': 'Description', 'Value': 'test account for dc finance'}, {'Key': 'project', 'Value': 'lz test account for dc finance'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-06-05T16:50:31Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'owner', 'Value': 'I:MGP Impacted Sys Fin Sanchita Sarkar'}, {'Key': 'Propagate-to', 'Value': 'tgw-nonprod-accounts-rt,tgw-dx-nonprod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'RequestedBy', 'Value': 'amjac426'}]"
011528291507,us-east-1,vpc-088629d17b8c2e609,mi-lz-tech-svcs-dev-us-east-1-vpc,10.212.118.0/25,False,available,dopt-027199fa87e5d616c,default,[],"[{'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'Description', 'Value': 'dev us-east-1 VPC for Tech Services'}, {'Key': 'Name', 'Value': 'mi-lz-tech-svcs-dev-us-east-1-vpc'}, {'Key': 'dud', 'Value': '52529967325'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'project', 'Value': 'Tech Services'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2024-07-31T15:21:38Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'environment', 'Value': 'Dev'}, {'Key': 'RequestedBy', 'Value': 'numen682'}, {'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'Propagate-to', 'Value': 'tgw-nonprod-accounts-rt,tgw-dx-nonprod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2024-07-31T15:17:52Z: VPC has been attached to the Transit Gateway'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2024-07-31T15:21:39Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'createdby', 'Value': 'jmeht561'}, {'Key': 'owner', 'Value': 'Dan Cronin'}]"
047270958358,us-east-1,vpc-09f08ecfabd8a5a9d,mi-lz-devops-ss-us-east-1-vpc,10.212.226.0/23,False,available,dopt-0cbb219417111c2cf,default,[],"[{'Key': 'Requested_by', 'Value': 'sginj220'}, {'Key': 'environment', 'Value': 'shared services'}, {'Key': 'tfe_created', 'Value': 'true'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-02-28T18:44:40Z: VPC has been attached to the Transit Gateway'}, {'Key': 'Name', 'Value': 'mi-lz-devops-ss-us-east-1-vpc'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-02-28T18:48:12Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'createdby', 'Value': 'anjok224'}, {'Key': 'project', 'Value': 'lz ss account for devops team'}, {'Key': 'Associate-with', 'Value': 'tgw-shared-account-rt'}, {'Key': 'Description', 'Value': 'shared account used for DevSecOps servers'}, {'Key': 'dud', 'Value': '51519542033'}, {'Key': 'owner', 'Value': 'H:Infra Engineering param_value Auto Adnan Haq'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-02-28T18:48:10Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'Propagate-to', 'Value': 'tgw-shared-account-rt,tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-nonprod-accounts-rt,tgw-virginia-oregon-peer-rt'}]"
047270958358,us-west-2,vpc-0bd4000739077b166,mi-lz-devops-ss-prod-us-west-2-vpc,10.216.248.0/23,False,available,dopt-0de9cfc6ea248fecd,default,[],"[{'Key': 'Name', 'Value': 'mi-lz-devops-ss-prod-us-west-2-vpc'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2024-08-22T21:07:02Z: VPC has been attached to the Transit Gateway'}, {'Key': 'Propagate-to', 'Value': 'tgw-shared-account-rt,tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-nonprod-accounts-rt,tgw-oregon-virginia-peer-rt'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2024-08-22T21:12:19Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'dud', 'Value': '51519542033'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2024-08-22T21:12:21Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'segment', 'Value': 'admin'}, {'Key': 'Associate-with', 'Value': 'tgw-shared-account-rt'}]"
047270958358,eu-west-2,vpc-01ba98e7bf3558222,mi-lz-devops-ss-prod-eu-west-2-vpc,10.86.150.0/23,False,available,dopt-0d4a48106d148e306,default,[],"[{'Key': 'segment', 'Value': 'admin'}, {'Key': 'Name', 'Value': 'mi-lz-devops-ss-prod-eu-west-2-vpc'}, {'Key': 'dud', 'Value': '51519542033'}]"
045155701822,us-east-1,vpc-0007019fc7ef7c946,mi-lz-mpg-prod-us-east-1-vpc,10.212.230.0/23,False,available,dopt-091177ffc82aae8d6,default,[],"[{'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'Description', 'Value': 'Migration of MPG platform hosted in Rackspace private cloud'}, {'Key': 'Requested_By', 'Value': 'jalop838'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'project', 'Value': 'lz foundational-tip prod account for mpg team'}, {'Key': 'Name', 'Value': 'mi-lz-mpg-prod-us-east-1-vpc'}, {'Key': 'environment', 'Value': 'prod'}, {'Key': 'Propagate-to', 'Value': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-05-24T21:00:41Z: VPC has been attached to the Transit Gateway'}, {'Key': 'owner', 'Value': 'Jesus Lopez'}, {'Key': 'Associate-with', 'Value': 'tgw-prod-accounts-rt'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-05-24T21:05:08Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'dud', 'Value': '51519542154'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'createdby', 'Value': 'anjok224'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-05-24T21:06:06Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}]"
025472518909,us-east-1,vpc-0ae16c521a462ca1c,mi-lz-network-test-default,10.212.19.128/25,False,available,dopt-03cadaf34128d23a0,default,"['10.212.8.128/25', '10.212.87.64/26']","[{'Key': 'Name', 'Value': 'mi-lz-network-test-default'}]"
025472518909,us-east-1,vpc-09ca502111aa1a60a,mi-lz-network-test-us-east-1-vpc,10.212.4.0/24,False,available,dopt-09c35aacb200f18f2,default,[],"[{'Key': 'STNOStatus-VPCAttachment', 'Value': '2022-11-18T21:17:54Z: VPC has been attached to the Transit Gateway'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2022-11-18T21:20:40Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'Name', 'Value': 'mi-lz-network-test-us-east-1-vpc'}, {'Key': 'project', 'Value': 'Network test account for landing zone'}, {'Key': 'createdby', 'Value': 'tshet584'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2024-08-30T15:07:46Z: VPC RT propagation has been disabled from the Transit Gateway Routing Table/Domain'}, {'Key': 'dud', 'Value': '52529967360'}, {'Key': 'environment', 'Value': 'test'}, {'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'owner', 'Value': 'H Network Engineering Matt Barzack'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'tfe_created', 'Value': 'true'}]"
